month,state,permit,permit_recheck,handgun,long_gun,other,multiple,total_background_checks,private_sale_handgun,private_sale_long_gun,private_sale_other,total_private,returned_handgun,returned_long_gun,returned_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,total_returns
2005-01,New Mexico,0,,1902,2782,,140,4824,,,,,,,,,,,
2005-01,New York,3459,,1360,6624,,11,11454,,,,,,,,,,,
2005-01,North Carolina,7728,,162,10708,,156,18754,,,,,,,,,,,
2005-01,North Dakota,200,,375,1381,,24,1980,,,,,,,,,,,
2005-01,Ohio,0,,9768,11744,,598,22110,,,,,,,,,,,
2005-01,Oklahoma,0,,4255,6554,,379,11188,,,,,,,,,,,
2005-01,Oregon,86,,4151,6726,,244,11207,,,,,,,,,,,
2005-01,Pennsylvania,157,,0,33930,,149,34236,,,,,,,,,,,
2005-01,Rhode Island,0,,362,381,,87,830,,,,,,,,,,,
2005-01,South Carolina,1490,,3613,4360,,145,9608,,,,,,,,,,,
2005-01,South Dakota,0,,720,2168,,50,2938,,,,,,,,,,,
2005-01,Tennessee,2241,,8121,9578,,338,20278,,,,,,,,,,,
2005-01,Texas,6831,,14755,23127,,1107,45820,,,,,,,,,,,
2005-01,Utah,1490,,1421,3146,,91,6148,,,,,,,,,,,
2005-01,Vermont,0,,447,640,,13,1100,,,,,,,,,,,
2005-01,Virginia,0,,7039,9136,,237,16412,,,,,,,,,,,
2005-01,Washington,1995,,4647,6147,,278,13067,,,,,,,,,,,
2005-01,West Virginia,0,,2640,4332,,268,7240,,,,,,,,,,,
2005-01,Wisconsin,0,,2887,7931,,2,10820,,,,,,,,,,,
2005-01,Wyoming,208,,702,1281,,54,2245,,,,,,,,,,,
2004-12,Alabama,0,,8115,25434,,383,33932,,,,,,,,,,,
2004-12,Alaska,0,,1201,2384,,64,3649,,,,,,,,,,,
2004-12,Arizona,1497,,6489,9307,,319,17612,,,,,,,,,,,
2004-12,Arkansas,750,,3415,15276,,228,19669,,,,,,,,,,,
2004-12,California,11948,,17147,28376,,6,57477,,,,,,,,,,,
2004-12,Colorado,606,,7418,16113,,493,24630,,,,,,,,,,,
2004-12,Connecticut,3410,,2331,2966,,116,8823,,,,,,,,,,,
2004-12,Delaware,0,,494,1954,,9,2457,,,,,,,,,,,
2004-12,District of Columbia,0,,0,0,,0,0,,,,,,,,,,,
2004-12,Florida,0,,15844,27777,,643,44264,,,,,,,,,,,
2004-12,Georgia,2456,,8075,24267,,329,35127,,,,,,,,,,,
2004-12,Hawaii,612,,0,0,,0,612,,,,,,,,,,,
2004-12,Idaho,693,,1501,5368,,90,7652,,,,,,,,,,,
2004-12,Illinois,45759,,5559,13973,,349,65640,,,,,,,,,,,
2004-12,Indiana,0,,5983,15529,,208,21720,,,,,,,,,,,
2004-12,Iowa,6662,,28,7734,,5,14429,,,,,,,,,,,
2004-12,Kansas,0,,2304,9974,,176,12454,,,,,,,,,,,
2004-12,Kentucky,0,,7905,21141,,515,29561,,,,,,,,,,,
2004-12,Louisiana,0,,5219,19053,,228,24500,,,,,,,,,,,
2004-12,Maine,0,,1175,3921,,61,5157,,,,,,,,,,,
2004-12,Maryland,1406,,853,7127,,14,9400,,,,,,,,,,,
2004-12,Massachusetts,2100,,1857,1707,,59,5723,,,,,,,,,,,
2004-12,Michigan,11365,,2890,21851,,73,36179,,,,,,,,,,,
2004-12,Minnesota,3212,,3423,13035,,142,19812,,,,,,,,,,,
2004-12,Mississippi,0,,3974,17025,,221,21220,,,,,,,,,,,
2004-12,Missouri,0,,4620,21685,,168,26473,,,,,,,,,,,
2004-12,Montana,250,,1564,5211,,133,7158,,,,,,,,,,,
2004-12,Nebraska,1949,,6,5141,,2,7098,,,,,,,,,,,
2004-12,Nevada,0,,2152,3756,,182,6090,,,,,,,,,,,
2004-12,New Hampshire,1049,,1257,2923,,15,5244,,,,,,,,,,,
2004-12,New Jersey,0,,1225,2695,,53,3973,,,,,,,,,,,
2004-12,New Mexico,0,,2565,5531,,208,8304,,,,,,,,,,,
2004-12,New York,3231,,983,13959,,15,18188,,,,,,,,,,,
2004-12,North Carolina,7024,,189,27209,,106,34528,,,,,,,,,,,
2004-12,North Dakota,162,,499,2817,,20,3498,,,,,,,,,,,
2004-12,Ohio,0,,11660,24059,,516,36235,,,,,,,,,,,
2004-12,Oklahoma,0,,4957,14808,,380,20145,,,,,,,,,,,
2004-12,Oregon,68,,5118,13811,,267,19264,,,,,,,,,,,
2004-12,Pennsylvania,191,,0,50690,,368,51249,,,,,,,,,,,
2004-12,Rhode Island,0,,373,527,,89,989,,,,,,,,,,,
2004-12,South Carolina,1154,,4350,12322,,147,17973,,,,,,,,,,,
2004-12,South Dakota,0,,879,4645,,70,5594,,,,,,,,,,,
2004-12,Tennessee,1372,,9664,23643,,410,35089,,,,,,,,,,,
2004-12,Texas,6718,,17267,55935,,1194,81114,,,,,,,,,,,
2004-12,Utah,1427,,2328,8467,,101,12323,,,,,,,,,,,
2004-12,Vermont,0,,522,1380,,23,1925,,,,,,,,,,,
2004-12,Virginia,0,,8482,20469,,300,29251,,,,,,,,,,,
2004-12,Washington,2330,,5622,11483,,272,19707,,,,,,,,,,,
2004-12,West Virginia,0,,3549,10327,,204,14080,,,,,,,,,,,
2004-12,Wisconsin,0,,3770,14515,,2,18287,,,,,,,,,,,
2004-12,Wyoming,151,,1077,2895,,49,4172,,,,,,,,,,,
2004-11,Alabama,0,,5795,16779,,331,22905,,,,,,,,,,,
2004-11,Alaska,0,,968,1785,,58,2811,,,,,,,,,,,
2004-11,Arizona,1168,,4378,5465,,273,11284,,,,,,,,,,,
2004-11,Arkansas,682,,2280,12891,,210,16063,,,,,,,,,,,
